year,net_gen_gwh,cf_portfolio,peak_month,trough_month,months_above_40pct,months_negative
2015,1538.9560,0.4392,12,3,9,0
2016,1660.7970,0.4727,10,8,9,0
2017,1556.6540,0.4443,3,8,8,0
2018,1526.5460,0.4357,6,7,9,0
2019,1476.7090,0.4214,4,11,7,0
2020,1288.0290,0.3666,6,9,4,0
2021,1268.9940,0.3622,12,7,3,0
2022,1445.4870,0.4125,5,8,7,0
2023,1130.9410,0.3228,1,3,1,0
2024,1137.1370,0.3236,6,4,1,0
