scenario,gen_gwh,capture_rate,avg_rev_mwh,ebitda_margin,npv_unlevered_m,irr_unlevered,irr_levered,dscr_min,dscr_avg,debt_principal_m,wacc,debt_rate,risk_free_rate
base,1411.0511306330502,0.8,30.35809057583593,0.36611397970953036,123.51382125921694,0.08845000000000036,0.2692332415948815,1.35,1.3500000000000003,110.18129231218398,0.08845,0.0603,0.0432
bull,1411.0511306330502,0.8300000000000001,31.356694508141675,0.38630109070528096,133.62594210007526,0.100990502298272,0.33243864955928615,1.3863951739448412,1.466772420520559,110.18129231218398,0.08845,0.0603,0.0432
bear,1097.5883631721722,0.75,28.693750688659694,0.17936187356380964,45.98712319886665,-0.04424940089759777,,0.4018960394940183,0.4892883197884124,110.18129231218398,0.08845,0.0603,0.0432
