plant_id,plant_name,month,net_gen_mwh,year,county,state,hours_in_month,plant_capacity_mw,max_gen_plant_mwh,cf_plant,max_gen_portfolio_mwh,cf_portfolio
58242,Pattern Panhandle Wind LLC,1,64182.0,2015,Carson,TX,744,218.0,162192.0,0.3957161882213673,297600,0.21566532258064516
58720,Pattern Panhandle Wind 2 LLC,1,59737.0,2015,Carson,TX,744,181.7,135184.8,0.4418913960741149,297600,0.20072916666666665
58242,Pattern Panhandle Wind LLC,2,59207.0,2015,Carson,TX,672,218.0,146496.0,0.404154379641765,268800,0.2202641369047619
58720,Pattern Panhandle Wind 2 LLC,2,54743.0,2015,Carson,TX,672,181.7,122102.4,0.4483368058285505,268800,0.20365699404761906
58242,Pattern Panhandle Wind LLC,3,53293.0,2015,Carson,TX,744,218.0,162192.0,0.3285797080003946,297600,0.17907594086021505
58720,Pattern Panhandle Wind 2 LLC,3,55620.0,2015,Carson,TX,744,181.7,135184.8,0.4114367887513981,297600,0.18689516129032258
58242,Pattern Panhandle Wind LLC,4,71894.0,2015,Carson,TX,720,218.0,156960.0,0.4580402650356779,288000,0.24963194444444445
58720,Pattern Panhandle Wind 2 LLC,4,74944.0,2015,Carson,TX,720,181.7,130823.99999999999,0.5728612487005443,288000,0.26022222222222224
58242,Pattern Panhandle Wind LLC,5,65144.0,2015,Carson,TX,744,218.0,162192.0,0.4016474302061754,297600,0.2188978494623656
58720,Pattern Panhandle Wind 2 LLC,5,68176.0,2015,Carson,TX,744,181.7,135184.8,0.5043170533965358,297600,0.22908602150537635
58242,Pattern Panhandle Wind LLC,6,61094.0,2015,Carson,TX,720,218.0,156960.0,0.3892329255861366,288000,0.21213194444444444
58720,Pattern Panhandle Wind 2 LLC,6,66970.0,2015,Carson,TX,720,181.7,130823.99999999999,0.5119091298232741,288000,0.2325347222222222
58242,Pattern Panhandle Wind LLC,7,58877.0,2015,Carson,TX,744,218.0,162192.0,0.3630080398540002,297600,0.1978393817204301
58720,Pattern Panhandle Wind 2 LLC,7,65362.0,2015,Carson,TX,744,181.7,135184.8,0.48350110367437765,297600,0.21963037634408603
58242,Pattern Panhandle Wind LLC,8,50865.0,2015,Carson,TX,744,218.0,162192.0,0.31360979579757325,297600,0.17091733870967743
58720,Pattern Panhandle Wind 2 LLC,8,60453.0,2015,Carson,TX,744,181.7,135184.8,0.4471878495215439,297600,0.20313508064516128
58242,Pattern Panhandle Wind LLC,9,63152.0,2015,Carson,TX,720,218.0,156960.0,0.4023445463812436,288000,0.21927777777777777
58720,Pattern Panhandle Wind 2 LLC,9,70962.0,2015,Carson,TX,720,181.7,130823.99999999999,0.5424234085488902,288000,0.24639583333333334
58242,Pattern Panhandle Wind LLC,10,54593.0,2015,Carson,TX,744,218.0,162192.0,0.33659489987175695,297600,0.18344422043010752
58720,Pattern Panhandle Wind 2 LLC,10,58531.0,2015,Carson,TX,744,181.7,135184.8,0.4329702747646185,297600,0.19667674731182797
58242,Pattern Panhandle Wind LLC,11,73663.0,2015,Carson,TX,720,218.0,156960.0,0.4693106523955148,288000,0.2557743055555556
58720,Pattern Panhandle Wind 2 LLC,11,76546.0,2015,Carson,TX,720,181.7,130823.99999999999,0.5851067082492509,288000,0.2657847222222222
58242,Pattern Panhandle Wind LLC,12,75354.0,2015,Carson,TX,744,218.0,162192.0,0.46459751405741345,297600,0.25320564516129035
58720,Pattern Panhandle Wind 2 LLC,12,75594.0,2015,Carson,TX,744,181.7,135184.8,0.5591900864594245,297600,0.25401209677419356
58242,Pattern Panhandle Wind LLC,1,58359.0,2016,Carson,TX,744,218.0,162192.0,0.35981429416987276,297600,0.19609879032258065
58720,Pattern Panhandle Wind 2 LLC,1,56971.0,2016,Carson,TX,744,181.7,135184.8,0.42143051585681235,297600,0.191434811827957
58242,Pattern Panhandle Wind LLC,2,81504.0,2016,Carson,TX,696,218.0,151728.0,0.5371717810819361,278400,0.2927586206896552
58720,Pattern Panhandle Wind 2 LLC,2,75375.0,2016,Carson,TX,696,181.7,126463.2,0.5960231909361775,278400,0.2707435344827586
58242,Pattern Panhandle Wind LLC,3,81928.0,2016,Carson,TX,744,218.0,162192.0,0.5051297227976719,297600,0.27529569892473116
58720,Pattern Panhandle Wind 2 LLC,3,77570.0,2016,Carson,TX,744,181.7,135184.8,0.5738071144093123,297600,0.26065188172043013
58242,Pattern Panhandle Wind LLC,4,72601.0,2016,Carson,TX,720,218.0,156960.0,0.4625445973496432,288000,0.25208680555555557
58720,Pattern Panhandle Wind 2 LLC,4,68873.0,2016,Carson,TX,720,181.7,130823.99999999999,0.5264553904482359,288000,0.23914236111111112
58242,Pattern Panhandle Wind LLC,5,73521.0,2016,Carson,TX,744,218.0,162192.0,0.4532960935187925,297600,0.24704637096774193
58720,Pattern Panhandle Wind 2 LLC,5,74845.0,2016,Carson,TX,744,181.7,135184.8,0.5536495227274073,297600,0.2514952956989247
58242,Pattern Panhandle Wind LLC,6,56991.0,2016,Carson,TX,720,218.0,156960.0,0.36309250764525997,288000,0.19788541666666667
58720,Pattern Panhandle Wind 2 LLC,6,62926.0,2016,Carson,TX,720,181.7,130823.99999999999,0.48099737051305574,288000,0.21849305555555557
58242,Pattern Panhandle Wind LLC,7,69892.0,2016,Carson,TX,744,218.0,162192.0,0.43092137713327416,297600,0.23485215053763442
58720,Pattern Panhandle Wind 2 LLC,7,76136.0,2016,Carson,TX,744,181.7,135184.8,0.563199412951752,297600,0.25583333333333336
58242,Pattern Panhandle Wind LLC,8,48325.0,2016,Carson,TX,744,218.0,162192.0,0.297949343987373,297600,0.16238239247311828
58720,Pattern Panhandle Wind 2 LLC,8,55618.0,2016,Carson,TX,744,181.7,135184.8,0.4114219941886958,297600,0.18688844086021505
58242,Pattern Panhandle Wind LLC,9,64807.0,2016,Carson,TX,720,218.0,156960.0,0.4128886340468909,288000,0.22502430555555555
58720,Pattern Panhandle Wind 2 LLC,9,72944.0,2016,Carson,TX,720,181.7,130823.99999999999,0.5575735339081515,288000,0.25327777777777777
58242,Pattern Panhandle Wind LLC,10,83331.0,2016,Carson,TX,744,218.0,162192.0,0.5137799644865345,297600,0.2800100806451613
58720,Pattern Panhandle Wind 2 LLC,10,87294.0,2016,Carson,TX,744,181.7,135184.8,0.645738278267971,297600,0.2933266129032258
58242,Pattern Panhandle Wind LLC,11,54906.0,2016,Carson,TX,720,218.0,156960.0,0.34980886850152904,288000,0.19064583333333332
58720,Pattern Panhandle Wind 2 LLC,11,55240.0,2016,Carson,TX,720,181.7,130823.99999999999,0.4222466825658901,288000,0.19180555555555556
58242,Pattern Panhandle Wind LLC,12,76099.0,2016,Carson,TX,744,218.0,162192.0,0.4691908355529249,297600,0.2557090053763441
58720,Pattern Panhandle Wind 2 LLC,12,74741.0,2016,Carson,TX,744,181.7,135184.8,0.5528802054668869,297600,0.25114583333333335
58242,Pattern Panhandle Wind LLC,1,64981.0,2017,Carson,TX,744,218.0,162192.0,0.4006424484561507,297600,0.21835013440860215
58720,Pattern Panhandle Wind 2 LLC,1,71396.692,2017,Carson,TX,744,181.7,135184.8,0.528141418265959,297600,0.2399082392473118
58242,Pattern Panhandle Wind LLC,2,72211.0,2017,Carson,TX,672,218.0,146496.0,0.4929213084316295,268800,0.2686421130952381
58720,Pattern Panhandle Wind 2 LLC,2,70673.709,2017,Carson,TX,672,181.7,122102.4,0.5788068784888749,268800,0.2629230245535714
58242,Pattern Panhandle Wind LLC,3,86977.0,2017,Carson,TX,744,218.0,162192.0,0.5362594949196015,297600,0.2922614247311828
58720,Pattern Panhandle Wind 2 LLC,3,85637.864,2017,Carson,TX,744,181.7,135184.8,0.6334873743201899,297600,0.28776163978494623
58242,Pattern Panhandle Wind LLC,4,86427.0,2017,Carson,TX,720,218.0,156960.0,0.5506307339449541,288000,0.30009375
58720,Pattern Panhandle Wind 2 LLC,4,83686.395,2017,Carson,TX,720,181.7,130823.99999999999,0.6396868693817649,288000,0.29057776041666666
58242,Pattern Panhandle Wind LLC,5,73734.0,2017,Carson,TX,744,218.0,162192.0,0.4546093518792542,297600,0.24776209677419356
58720,Pattern Panhandle Wind 2 LLC,5,74750.996,2017,Carson,TX,744,181.7,135184.8,0.552954148691273,297600,0.25117942204301075
58242,Pattern Panhandle Wind LLC,6,60139.0,2017,Carson,TX,720,218.0,156960.0,0.3831485728848114,288000,0.20881597222222223
